# redshift=     0.100000
#          MF max                   MF min
      9.22500  2.83916e-05      9.22500  1.98523e-05
      9.37500  1.11229e-05      9.37500  7.56679e-06
      9.52500  3.84242e-06      9.52500  2.64850e-06
      9.67500  1.17699e-06      9.67500  7.95872e-07
      9.82500  3.22417e-07      9.82500  2.00459e-07
      9.97500  7.52971e-08      9.97500  4.36520e-08
      10.1250  2.97000e-08      10.1250  2.97000e-08
# redshift=      1.50000
#          MF max                   MF min
      5.77500  0.000445528      5.77500  0.000202173
      5.92500  0.000494764      5.92500  0.000227702
      6.07500  0.000587407      6.07500  0.000274558
      6.22500  0.000676271      6.22500  0.000335144
      6.37500  0.000778489      6.37500  0.000415664
      6.52500  0.000909236      6.52500  0.000532549
      6.67500   0.00117295      6.67500  0.000720106
      6.82500   0.00143842      6.82500  0.000955076
      6.97500   0.00163286      6.97500   0.00109162
      7.12500   0.00176782      7.12500   0.00120632
      7.27500   0.00182807      7.27500   0.00127568
      7.42500   0.00182149      7.42500   0.00130762
      7.57500   0.00172967      7.57500   0.00128569
      7.72500   0.00156697      7.72500   0.00118600
      7.87500   0.00136441      7.87500   0.00102962
      8.02500   0.00112653      8.02500  0.000838227
      8.17500  0.000845746      8.17500  0.000628132
      8.32500  0.000579742      8.32500  0.000429518
      8.47500  0.000370229      8.47500  0.000269292
      8.62500  0.000219646      8.62500  0.000149587
      8.77500  0.000130393      8.77500  6.16897e-05
      8.92500  7.06112e-05      8.92500  2.26830e-05
      9.07500  3.46836e-05      9.07500  7.90511e-06
      9.22500  1.52511e-05      9.22500  2.63697e-06
      9.37500  5.96863e-06      9.37500  8.70540e-07
      9.52500  2.07941e-06      9.52500  2.86636e-07
      9.67500  6.34873e-07      9.67500  9.43208e-08
      9.82500  1.69145e-07      9.82500  3.00095e-08
      9.97500  3.83027e-08      9.97500  2.97000e-08
      10.1250  2.97000e-08      10.1250  2.97000e-08
# redshift=      2.00000
#          MF max                   MF min
      5.77500  0.000421613      5.77500  0.000159564
      5.92500  0.000468883      5.92500  0.000176870
      6.07500  0.000553248      6.07500  0.000225569
      6.22500  0.000653763      6.22500  0.000296864
      6.37500  0.000774289      6.37500  0.000394312
      6.52500  0.000910478      6.52500  0.000520557
      6.67500   0.00115742      6.67500  0.000698277
      6.82500   0.00141532      6.82500  0.000942678
      6.97500   0.00163942      6.97500   0.00107660
      7.12500   0.00179121      7.12500   0.00116585
      7.27500   0.00189367      7.27500   0.00120409
      7.42500   0.00191609      7.42500   0.00119811
      7.57500   0.00179364      7.57500   0.00110354
      7.72500   0.00154604      7.72500  0.000927997
      7.87500   0.00120678      7.87500  0.000711466
      8.02500  0.000828673      8.02500  0.000499494
      8.17500  0.000475268      8.17500  0.000315568
      8.32500  0.000244495      8.32500  0.000178938
